,Reviews,sentiment,hugging_face_label
0,Disappointed. Surprisingly disappointed. I have eaten at the main restaurant a few times and the experience has been nice though the prices are a bit much. However a visit to their outlet at Chowringhee was a disaster! To begin with when we reserved a table...More,0.0,0
1,Food good but waiter should advise patrons on the number of the dishes to order to avoid wastage of the food.,0.0,0
2,"Recently visited Ballygunge Place restaurant for a family dinner. The restaurant is named based on its address and situated amidst the residential locality at Ballygunge. The restaurant is housed in a heritage bungalow with a charming ambience. When we visited, the restaurant was moderately crowded,...More",1.0,1
3,I was very disapoint that they do not serve genuine Mourala fish. In their manue it says thatthey serve fried Mourala fish with sliced fried onion. The fish they serve is a small salt water fish similar to Mourala fish. The treatment of the staff...More,0.0,0
4,We visited 6 Ballygunge for a meal this November. We have been here before so the food and the good quality did not surprise us but the excellent hospitality service accorded to us did. Not to say the restaurant did not have good service before...More,1.0,1
5,6 Ballygunge place is a must visit restaurant in south Kolkata. They serve authentic Bengali delicious food. The ambiance is nice but at times it gets over crowded especially over weekend. It is better to book table in advance to avoid waiting. I went with...More,1.0,1
6,"The food was outstanding and one wanted to eat more. As the sole diner I tried the prawns curry and fish curry in mustard sauce. Both of them were lip smacking but would rate the prawns a tad ahead. The ice cream Nolengur was good,...More",1.0,1
7,"One of the most loved places for me and family when we crave for Bengali dishes.,.,. But.... To our Shock and Surprise, the right from the Curtious Warmth, Manner of Employees, taste of Food etc etc all has gone down drastically. So rigid have become...More",0.0,0
8,"Loved the food. Potoler dorma, hilsa preparation, noler gurer ice-cream were some of the delicacies that we enjoyed. Loved the ambiance and the speed of service. I would have given a 5 for the restaurant had it not been the persuasive gesture of paying the...More",1.0,1
9,If your looking for an authentic bengali cuisine then 6 ballygunge place is where you should be. The food is made in authentic bengali style. Wide buffet spread. The taste is superb. Must try is luchi and kosha mangsho along with aloo dum. The aam...More,1.0,1
10,"My wife is Bengali and I am very accustomed to her cooking. Having been to many Bengali parties hosted by our friends, I'm familiar enough to at least have a valid opinion. I ate at six different restaurants in Kolkata, and this one was near...More",1.0,1
11,Simply visit the place if you know Bengali specialty. Expectation of correct advocation .... not much of idea really,0.0,0
12,"We went to the original restaurant and the building itself was so charming. An old building has been converted to this restaurant which itself brings a sense of nostalgia. On top of that, the food is so delicious. A very good selection of bengali dishes...More",1.0,1
13,"My wife and I had planned to visit 6 Ballygunge Place on Poila Boisakh, but tables were not available there for several days in a row1 So we decided to defer our visit and finally went there last week with an extended family group. When...More",0.0,0
14,Nice ambiance with authentic bangali cuisine. Not so expensive. Food is too good. Parking is an issue. Love to visit again.,1.0,1
15,Spent 5K bucks in the name of so called Poila Baisakh. The food is like garage.. Very average food quality and I am damn sure this must be food of 2-3 days old. Chicken was smelly.. Greetings and behaviour of staffs are very non- amicable.....More,0.0,0
16,"I have had good food there before. But I have always found the high praise for this restaurant super hyped and completely unreal. This time I had ""Dab chingri"" and ""Chitol machher muittya"". Both were quite pathetic. The Dab Chingri was sickly sweet and tasteless....More",0.0,0
17,"It's not a bad restaurant, but definitely not out of this world. It has been able to get hyped by local Bongs more than it deserves. Food is just good. I repeat, just good. Fish fry we tried was ordinary, there are hundreds of restaurants...More",1.0,1
18,"Out of all of the numerous restaurants I've visited throughout India and the world, 6 Ballygunge Place has the best, and most authentic Bengali food I've ever had at a restaurant. As a Bengali living abroad, it tasted home cooked - highly, highly recommend for...More",1.0,1
19,"This is one place where you get the true delicacies of Bengal. It is big and accomodates many guests. There was a plethora of dishes for buffet lunch when we visited. It included Veg, Fish, Prawns, chicken, mutton and dessert. a la carte also available.",1.0,1
20,"We went for dinner at the newly opened 6, Ballygunge place at Chowringhee. They are at Chaudhary Estates property. The restaurant is reasonably large, well lit and spread out. It wasnât crowded ( maybe bâcos they are new at Chowringhee). The service was attentive and...More",1.0,1
21,"Their afternoon buffet has really gone southwards. I remember having it 3 years ago and it was a great experience. Yesterday's buffet lunch was just passable, and barely value for money. The servers were very reluctant to refill the dishes that we wanted, namely mutton...More",0.0,0
22,"6 Ballygunge Place was the perfect place for a family reunion. Great ambience, good food and service. Posto bora, Chicken Tampa... , Chutney, Fish fry , Baked Mihidana were superb. Bhapa Ilish was good quality but lacked the zing. Suggest to add a dash of...More",1.0,1
23,"The food is Awesome & the service too. MUST TRY the dav Chingri, sorshe elish & one more starter with lau pata Elish.",1.0,1
24,"Rajarhat outlets - Staff behavior is very rough, specially Manager, he doesn't know how to behave, we visit on 13/10/2021 at 1pm",0.0,0
25,Went there with high hopes. Food is average and over priced. Dessert was mind blowing but the main course was just average. Its buffet during puna days. The spread is limited and the food is average. Only thing that stood out was the dessert which...More,0.0,0
26,6Ballygunge Place is a favourite place of mine and my family also. All foods are too good. The decoration of this restaurent is awesome. I loved this place. All staffs are too good.,1.0,1
27,"We have gone there for several times. On 15th April,2021 at Bengali Nababarsa we went at the Salt Lake outlet,had buffet mwal.All items were delicious. Ambience was good, service was excellent.We recommend every food lover to this restaurant.",1.0,1
28,"Everything was nice about this place .. the restaurant was full , so reserving a table would be of good idea",1.0,1
29,"We love going to our very own the 6 Ballygunje Place Salt Lake City. The food is to die for, so is the service & hospitality of the team & management. Keep up the good work!!",1.0,1
30,Spent 5K bucks in the name of so called Poila Baisakh. The food is like garage.. Very average food quality and I am damn sure this must be food of 2-3 days old. Chicken was smelly.. Greetings and behaviour of staffs are very non- amicable.....More,0.0,0
31,"I have had good food there before. But I have always found the high praise for this restaurant super hyped and completely unreal. This time I had ""Dab chingri"" and ""Chitol machher muittya"". Both were quite pathetic. The Dab Chingri was sickly sweet and tasteless....More",0.0,0
32,"It's not a bad restaurant, but definitely not out of this world. It has been able to get hyped by local Bongs more than it deserves. Food is just good. I repeat, just good. Fish fry we tried was ordinary, there are hundreds of restaurants...More",1.0,1
33,"Out of all of the numerous restaurants I've visited throughout India and the world, 6 Ballygunge Place has the best, and most authentic Bengali food I've ever had at a restaurant. As a Bengali living abroad, it tasted home cooked - highly, highly recommend for...More",1.0,1
34,"This is one place where you get the true delicacies of Bengal. It is big and accomodates many guests. There was a plethora of dishes for buffet lunch when we visited. It included Veg, Fish, Prawns, chicken, mutton and dessert. a la carte also available.",1.0,1
35,"We went for dinner at the newly opened 6, Ballygunge place at Chowringhee. They are at Chaudhary Estates property. The restaurant is reasonably large, well lit and spread out. It wasnât crowded ( maybe bâcos they are new at Chowringhee). The service was attentive and...More",1.0,1
36,"Their afternoon buffet has really gone southwards. I remember having it 3 years ago and it was a great experience. Yesterday's buffet lunch was just passable, and barely value for money. The servers were very reluctant to refill the dishes that we wanted, namely mutton...More",0.0,0
37,"6 Ballygunge Place was the perfect place for a family reunion. Great ambience, good food and service. Posto bora, Chicken Tampa... , Chutney, Fish fry , Baked Mihidana were superb. Bhapa Ilish was good quality but lacked the zing. Suggest to add a dash of...More",1.0,1
38,"The food is Awesome & the service too. MUST TRY the dav Chingri, sorshe elish & one more starter with lau pata Elish.",1.0,1
39,"Rajarhat outlets - Staff behavior is very rough, specially Manager, he doesn't know how to behave, we visit on 13/10/2021 at 1pm",0.0,0
40,Went there with high hopes. Food is average and over priced. Dessert was mind blowing but the main course was just average. Its buffet during puna days. The spread is limited and the food is average. Only thing that stood out was the dessert which...More,0.0,0
41,6Ballygunge Place is a favourite place of mine and my family also. All foods are too good. The decoration of this restaurent is awesome. I loved this place. All staffs are too good.,1.0,1
42,"We have gone there for several times. On 15th April,2021 at Bengali Nababarsa we went at the Salt Lake outlet,had buffet mwal.All items were delicious. Ambience was good, service was excellent.We recommend every food lover to this restaurant.",1.0,1
43,Its the best Restaurant for Chinese & Indian Food Lovers Located in Park Street. I visited it lot of times because tI like the food & Service.,1.0,1
44,"Given the price point, Bar B Que offers the best Indian & Chinese food in Kolkata, as far as quality & value for money is concerned.",1.0,1
45,"Wonderful service, very tasty food, good quantity, nice ambience, good gentry â¦. What not. In sum, a very nice place to be for a sumptuous heart filling meal. Would love to see them in Mumbai.",1.0,1
46,"This place serves the best food - order anything from the menu & you will love it. The place is sully flocked by families and youngsters as much. The Ambience is just about average and so is the service. But who cares, when the food...More",1.0,1
47,"On weekends it's an extremely noisy place but the tate of food makes up for it! Portions are very generous, prices very very reasonable and they have their own home delivery also (subject to certain conditions). Not the place to have a quiet tete-a-tete, but...More",1.0,1
48,"Excellent location with superpb muglai food with marvellous service only disappointment is getting table,at every time its full.",0.0,0
49,"Went there today (14th March, 2022) to celebrate my wife's birthday. Hugely disappointed with their arrogant & indifferent attitude. This has been a family favourite - but since Covid struck - the attitude resembles that of a Mafia run joint. Sad.",0.0,0
50,100% positive experience and honest recommendation. Beats in terms of food quality and service any other place in the centre - and Iâve seen a lot. Place is in fact a part of enormous Chinese restaurant that has downsized. Judging by perfect order and trained...More,1.0,0
51,Bar-B-Q has been the choice for chinese (or Indo-chinese) to most Calcuttans for years now. At least ever since the original Waldorf closed down. We were going to BBQ after 5 years and though some of the old faces amongst the staff are no longer...More,0.0,0
52,Very nice experience. The quality of food and service was par excellence! All the items we ordered were cooked to perfection. The Chefs needs to be complimented!!!,1.0,1
53,"Great place. One of our go to places for sure. Be it birthday, anniversary anything. Food quality is great as always. Love it",1.0,1
54,This is probably my 4th visit. I like the Chinese they serve. Price is reasonable and ambience is good. Ambience may feel bustly sometimes but overall good. Service is fast and good. Sometimes there can be waiting period during special occasions but since they have...More,1.0,1
55,"One of our favourite joints in Park Street. Today it was due to our daughterâs request & again the place stood up to itâs reputation of good food, drinks & a great vibe for family & friends to have a awesome time. We had a...More",1.0,1
56,"BarBQ serves the best âIndian-Chineseâ ever...thereâs always a queue despite how big the restaurant is and that should speak volumes about the kind of food they serve. The food is consistently good, their prices are great. The staff are super efficient. Whatâs not to like?...More",1.0,1
57,The food is good. The ambience is good. Gives me the old Calcutta British feels. I feel like I'm in a old back and white movie where waiters are well dressed and actually follow the service rules. Love going there on days I want to...More,1.0,1
58,Its the best Restaurant for Chinese & Indian Food Lovers Located in Park Street. I visited it lot of times because tI like the food & Service.,1.0,1
59,"Given the price point, Bar B Que offers the best Indian & Chinese food in Kolkata, as far as quality & value for money is concerned.",1.0,1
60,"Wonderful service, very tasty food, good quantity, nice ambience, good gentry â¦. What not. In sum, a very nice place to be for a sumptuous heart filling meal. Would love to see them in Mumbai.",1.0,1
61,"This place serves the best food - order anything from the menu & you will love it. The place is sully flocked by families and youngsters as much. The Ambience is just about average and so is the service. But who cares, when the food...More",1.0,1
62,"On weekends it's an extremely noisy place but the tate of food makes up for it! Portions are very generous, prices very very reasonable and they have their own home delivery also (subject to certain conditions). Not the place to have a quiet tete-a-tete, but...More",1.0,1
63,"Excellent location with superpb muglai food with marvellous service only disappointment is getting table,at every time its full.",0.0,0
64,"Went there today (14th March, 2022) to celebrate my wife's birthday. Hugely disappointed with their arrogant & indifferent attitude. This has been a family favourite - but since Covid struck - the attitude resembles that of a Mafia run joint. Sad.",0.0,0
65,100% positive experience and honest recommendation. Beats in terms of food quality and service any other place in the centre - and Iâve seen a lot. Place is in fact a part of enormous Chinese restaurant that has downsized. Judging by perfect order and trained...More,1.0,0
66,Bar-B-Q has been the choice for chinese (or Indo-chinese) to most Calcuttans for years now. At least ever since the original Waldorf closed down. We were going to BBQ after 5 years and though some of the old faces amongst the staff are no longer...More,0.0,0
67,Very nice experience. The quality of food and service was par excellence! All the items we ordered were cooked to perfection. The Chefs needs to be complimented!!!,1.0,1
68,"Great place. One of our go to places for sure. Be it birthday, anniversary anything. Food quality is great as always. Love it",1.0,1
69,This is probably my 4th visit. I like the Chinese they serve. Price is reasonable and ambience is good. Ambience may feel bustly sometimes but overall good. Service is fast and good. Sometimes there can be waiting period during special occasions but since they have...More,1.0,1
70,"One of our favourite joints in Park Street. Today it was due to our daughterâs request & again the place stood up to itâs reputation of good food, drinks & a great vibe for family & friends to have a awesome time. We had a...More",1.0,1
71,"BarBQ serves the best âIndian-Chineseâ ever...thereâs always a queue despite how big the restaurant is and that should speak volumes about the kind of food they serve. The food is consistently good, their prices are great. The staff are super efficient. Whatâs not to like?...More",1.0,1
72,The food is good. The ambience is good. Gives me the old Calcutta British feels. I feel like I'm in a old back and white movie where waiters are well dressed and actually follow the service rules. Love going there on days I want to...More,1.0,1
73,This restaurant specialises in Chinese and Indian.Food is excellent but there is a big queue and waiting of an hour on weekends so if you have time you may go,1.0,1
74,"Amazing Chinese food , they have food choices of indian and Chinese food . However I like Chinese food a lot. It is located at the center of kolkata just at the park street. I think no in kolkata have food like this , make...More",1.0,1
75,"One of the best place to have indo-chienese food in Kolkata. The ambiance and the service is very good to have a good time with your friends, family and your loved ones. Most importantly the quality of the food is very good. It has very...More",1.0,1
76,Awesome food...variety...ambience..loved it...the chicken n prawn barbecue still lingers in my taste buds....looking forward again to visit soon,1.0,1
77,"One of the famous restaurants in Park Street, Kolkata. Has an old worldly charm about it. Food is good. Staff are courteous but slow. In the evening Diners start to come is soon as the restaurants opens and by 8 pm the place becomes a...More",1.0,1
78,Excellent food both in the Chinese and the Indian section. Went on 3 occasions and the restaurant was packed on all 3 occasions. Had wait for a table. Service was adequate!,1.0,1
79,Especially one waiter who took our order ; old fellow didnât like his behaviour at all while he was taking order. They kept on talking among themselves beside our table. Bad experience will never go there.,0.0,0
80,Had our dinner last month .Quality of food and service was good. Food quality was excellant as usual.One of the best at present in kolkata.l,1.0,1
81,This place will surely make you wait for a table whenever you visit either on weekends or weekdays. But it's worth waiting when you taste the Chinese delicacies. Just awesome .....,1.0,1
82,This place offers good food with variety and also serves drinks. A bit crowded but cosy - food quality is good alongwith portion size. a place worth visiting.,1.0,1
83,The place is one of the oldest and has a nice feel. The service is good. the staff is trained. Very good chinese dinning experience. Must visit. cheers,1.0,1
84,This is one of the best restaurants in Park street serving multi-cuisine dishes. The service is very fast and food is delectable. On Sundays you need to wait for a while though the wait is worth every penny. A very good restaurant at a reasonable...More,1.0,1
85,A well established resto with a good reputation and it lived up to it. We tried Indian and Oriental dishes and they were all equally delicious. Plus the staff is very attentive and will go out of the way to please you. A definite must...More,1.0,1
86,Huge but buzzing. Old charm restaurant. And full on a week night ! We were 15 of us so seated on a large long table and huge number of dishes were ordered. Each better then the earlier ! Highly recommend it when visiting Kolkata.,1.0,1
87,"nice atmosphere in the heart of main city,and party zone.(park street).restaurant is on 1st floor.with cozy chairs .and exellent lighting and decoration. meal is delicious. service world class.",1.0,1
88,This restaurant specialises in Chinese and Indian.Food is excellent but there is a big queue and waiting of an hour on weekends so if you have time you may go,1.0,1
89,"Amazing Chinese food , they have food choices of indian and Chinese food . However I like Chinese food a lot. It is located at the center of kolkata just at the park street. I think no in kolkata have food like this , make...More",1.0,1
90,"One of the best place to have indo-chienese food in Kolkata. The ambiance and the service is very good to have a good time with your friends, family and your loved ones. Most importantly the quality of the food is very good. It has very...More",1.0,1
91,Awesome food...variety...ambience..loved it...the chicken n prawn barbecue still lingers in my taste buds....looking forward again to visit soon,1.0,1
92,"One of the famous restaurants in Park Street, Kolkata. Has an old worldly charm about it. Food is good. Staff are courteous but slow. In the evening Diners start to come is soon as the restaurants opens and by 8 pm the place becomes a...More",1.0,1
93,Excellent food both in the Chinese and the Indian section. Went on 3 occasions and the restaurant was packed on all 3 occasions. Had wait for a table. Service was adequate!,1.0,1
94,Especially one waiter who took our order ; old fellow didnât like his behaviour at all while he was taking order. They kept on talking among themselves beside our table. Bad experience will never go there.,0.0,0
95,Had our dinner last month .Quality of food and service was good. Food quality was excellant as usual.One of the best at present in kolkata.l,1.0,1
96,This place will surely make you wait for a table whenever you visit either on weekends or weekdays. But it's worth waiting when you taste the Chinese delicacies. Just awesome .....,1.0,1
97,This place offers good food with variety and also serves drinks. A bit crowded but cosy - food quality is good alongwith portion size. a place worth visiting.,1.0,1
98,The place is one of the oldest and has a nice feel. The service is good. the staff is trained. Very good chinese dinning experience. Must visit. cheers,1.0,1
99,This is one of the best restaurants in Park street serving multi-cuisine dishes. The service is very fast and food is delectable. On Sundays you need to wait for a while though the wait is worth every penny. A very good restaurant at a reasonable...More,1.0,1
100,A well established resto with a good reputation and it lived up to it. We tried Indian and Oriental dishes and they were all equally delicious. Plus the staff is very attentive and will go out of the way to please you. A definite must...More,1.0,1
101,Had a great experience for the staff especially from Deepak and Rupam. The food was exceptional good and the cocktails made by Prasenjit was up to the mark.,1.0,1
102,"Had a lovely experience. Thanks to Mr Santanu and Mr Saurav for assisting so well. Very cozy experienced, well behaved and professional people",1.0,1
103,Good service by Santanu and Gaurav. Happy with the experience. Very hygienic and professional behavior displayed by the staff. Food was great as well.,1.0,1
104,"We visited of 14/01/2023 on the occasion of our anniversary and it was one of a class experience. Starting from the decor to the spread and taste everything was regal. The hospitality by Sneha deserves a special mention indeed, her sweet behaviour and service made...More",1.0,1
105,"i came to GRAND MARKET PAVILION to find a peaceful evening with good food and ambience which was taken care of by Ms Suchandra i was amazed to find her experience of understanding the guest needs,I found her a proper hotelier, must mention the taste...More",1.0,1
106,I used to come on regular basis to take official Dinner and Lunch under Mr.Shantanu and Mr.Rohit . Their service upto the mark. Food quality is good. Mutton quality need to improve more. If services remain good then I will come with my colleagues regularly.,1.0,1
107,"It was awesome spending birthday event lunch at ITC Grand Market Pavillion , would like to visit again Thanks to Mr. Sourav",1.0,1
108,"The ambience was too good .our server sourav ,Rupam ,Sumeswer was looking after so nice .the food was so good .I like the Indian food .nice hospitality",1.0,1
109,An amazing evening birthday dinner thanks to Mr.Arindam for The great hospitality... Would surely recommend this Place for best gastrointestinal experience!!!!,1.0,1
110,Excellent service by Santanu and team. We were a big group of 30 people and every person was catered to individually!,1.0,1
111,Good food and services environment is good indian food and Desert is good... thank you Rohit and sourav,1.0,1
112,"Awesome Service,food both in quality and quantity with affordable price(appox. INR - 2000/- per person). Excellent customer service by Santanu & Ashad throughout the visit. Thanks!!",1.0,1
113,"The ambiences is too good . Our server sourav is doing the great job and take care so well . Love to visit the place again . It was a nice dinner . The food was so good .,, ððððð",1.0,1
